,count,duration,duration_bin,durations,type
6800,1,136 min,120 - 150,136.0,Movie
6803,1,52 min,0 - 60,52.0,Movie
6805,1,81 min,60 - 90,81.0,Movie
6806,1,77 min,60 - 90,77.0,Movie
6807,1,108 min,95 - 120,108.0,Movie
6808,1,130 min,120 - 150,130.0,Movie
6809,1,120 min,120 - 150,120.0,Movie
6810,1,102 min,95 - 120,102.0,Movie
6811,1,116 min,95 - 120,116.0,Movie
6812,1,67 min,60 - 90,67.0,Movie
6814,1,90 min,90 - 95,90.0,Movie
6815,1,100 min,95 - 120,100.0,Movie
6816,1,123 min,120 - 150,123.0,Movie
6818,1,90 min,90 - 95,90.0,Movie
6819,1,120 min,120 - 150,120.0,Movie
6820,1,92 min,90 - 95,92.0,Movie
6821,1,93 min,90 - 95,93.0,Movie
6822,1,116 min,95 - 120,116.0,Movie
6823,1,107 min,95 - 120,107.0,Movie
6826,1,95 min,95 - 120,95.0,Movie
6827,1,87 min,60 - 90,87.0,Movie
6828,1,111 min,95 - 120,111.0,Movie
6830,1,14 min,0 - 60,14.0,Movie
6832,1,101 min,95 - 120,101.0,Movie
6833,1,91 min,90 - 95,91.0,Movie
6834,1,105 min,95 - 120,105.0,Movie
6835,1,103 min,95 - 120,103.0,Movie
6836,1,103 min,95 - 120,103.0,Movie
6837,1,90 min,90 - 95,90.0,Movie
6839,1,81 min,60 - 90,81.0,Movie
6840,1,120 min,120 - 150,120.0,Movie
6841,1,107 min,95 - 120,107.0,Movie
6842,1,90 min,90 - 95,90.0,Movie
6843,1,47 min,0 - 60,47.0,Movie
6844,1,111 min,95 - 120,111.0,Movie
6845,1,94 min,90 - 95,94.0,Movie
6846,1,92 min,90 - 95,92.0,Movie
6847,1,92 min,90 - 95,92.0,Movie
6848,1,99 min,95 - 120,99.0,Movie
6850,1,253 min,150  - 300,253.0,Movie
6851,1,124 min,120 - 150,124.0,Movie
6852,1,111 min,95 - 120,111.0,Movie
6854,1,32 min,0 - 60,32.0,Movie
6855,1,98 min,95 - 120,98.0,Movie
6856,1,86 min,60 - 90,86.0,Movie
6857,1,105 min,95 - 120,105.0,Movie
6859,1,100 min,95 - 120,100.0,Movie
6860,1,104 min,95 - 120,104.0,Movie
6863,1,123 min,120 - 150,123.0,Movie
6864,1,100 min,95 - 120,100.0,Movie
6865,1,105 min,95 - 120,105.0,Movie
6866,1,85 min,60 - 90,85.0,Movie
6867,1,108 min,95 - 120,108.0,Movie
6868,1,97 min,95 - 120,97.0,Movie
6869,1,97 min,95 - 120,97.0,Movie
6870,1,91 min,90 - 95,91.0,Movie
6871,1,96 min,95 - 120,96.0,Movie
6872,1,93 min,90 - 95,93.0,Movie
6873,1,122 min,120 - 150,122.0,Movie
6874,1,90 min,90 - 95,90.0,Movie
6875,1,163 min,150  - 300,163.0,Movie
6877,1,110 min,95 - 120,110.0,Movie
6878,1,143 min,120 - 150,143.0,Movie
6879,1,104 min,95 - 120,104.0,Movie
6880,1,103 min,95 - 120,103.0,Movie
6881,1,105 min,95 - 120,105.0,Movie
6883,1,94 min,90 - 95,94.0,Movie
6884,1,121 min,120 - 150,121.0,Movie
6886,1,93 min,90 - 95,93.0,Movie
6889,1,120 min,120 - 150,120.0,Movie
6890,1,95 min,95 - 120,95.0,Movie
6891,1,41 min,0 - 60,41.0,Movie
6892,1,97 min,95 - 120,97.0,Movie
6893,1,84 min,60 - 90,84.0,Movie
6894,1,46 min,0 - 60,46.0,Movie
6896,1,94 min,90 - 95,94.0,Movie
6897,1,94 min,90 - 95,94.0,Movie
6898,1,105 min,95 - 120,105.0,Movie
6899,1,81 min,60 - 90,81.0,Movie
6901,1,103 min,95 - 120,103.0,Movie
6903,1,122 min,120 - 150,122.0,Movie
6904,1,98 min,95 - 120,98.0,Movie
6909,1,90 min,90 - 95,90.0,Movie
6910,1,111 min,95 - 120,111.0,Movie
6911,1,97 min,95 - 120,97.0,Movie
6912,1,91 min,90 - 95,91.0,Movie
6913,1,89 min,60 - 90,89.0,Movie
6915,1,115 min,95 - 120,115.0,Movie
6917,1,98 min,95 - 120,98.0,Movie
6918,1,92 min,90 - 95,92.0,Movie
6919,1,106 min,95 - 120,106.0,Movie
6920,1,139 min,120 - 150,139.0,Movie
6921,1,81 min,60 - 90,81.0,Movie
6923,1,83 min,60 - 90,83.0,Movie
6924,1,123 min,120 - 150,123.0,Movie
6925,1,96 min,95 - 120,96.0,Movie
6926,1,118 min,95 - 120,118.0,Movie
6927,1,110 min,95 - 120,110.0,Movie
6928,1,94 min,90 - 95,94.0,Movie
6929,1,58 min,0 - 60,58.0,Movie
6930,1,96 min,95 - 120,96.0,Movie
6931,1,107 min,95 - 120,107.0,Movie
6932,1,97 min,95 - 120,97.0,Movie
6933,1,103 min,95 - 120,103.0,Movie
6935,1,24 min,0 - 60,24.0,Movie
6937,1,91 min,90 - 95,91.0,Movie
6938,1,136 min,120 - 150,136.0,Movie
6940,1,130 min,120 - 150,130.0,Movie
6942,1,91 min,90 - 95,91.0,Movie
6943,1,104 min,95 - 120,104.0,Movie
6944,1,94 min,90 - 95,94.0,Movie
6945,1,108 min,95 - 120,108.0,Movie
6946,1,91 min,90 - 95,91.0,Movie
6948,1,58 min,0 - 60,58.0,Movie
6951,1,99 min,95 - 120,99.0,Movie
6954,1,106 min,95 - 120,106.0,Movie
6955,1,126 min,120 - 150,126.0,Movie
6956,1,96 min,95 - 120,96.0,Movie
6959,1,93 min,90 - 95,93.0,Movie
6966,1,106 min,95 - 120,106.0,Movie
6967,1,103 min,95 - 120,103.0,Movie
6969,1,130 min,120 - 150,130.0,Movie
6972,1,91 min,90 - 95,91.0,Movie
6975,1,115 min,95 - 120,115.0,Movie
6976,1,91 min,90 - 95,91.0,Movie
6977,1,92 min,90 - 95,92.0,Movie
6978,1,103 min,95 - 120,103.0,Movie
6981,1,72 min,60 - 90,72.0,Movie
6982,1,138 min,120 - 150,138.0,Movie
6984,1,98 min,95 - 120,98.0,Movie
6985,1,125 min,120 - 150,125.0,Movie
6987,1,93 min,90 - 95,93.0,Movie
6988,1,111 min,95 - 120,111.0,Movie
6989,1,112 min,95 - 120,112.0,Movie
6990,1,90 min,90 - 95,90.0,Movie
6991,1,101 min,95 - 120,101.0,Movie
6992,1,101 min,95 - 120,101.0,Movie
6993,1,98 min,95 - 120,98.0,Movie
6994,1,111 min,95 - 120,111.0,Movie
6995,1,117 min,95 - 120,117.0,Movie
6997,1,41 min,0 - 60,41.0,Movie
7000,1,92 min,90 - 95,92.0,Movie
7002,1,117 min,95 - 120,117.0,Movie
7003,1,92 min,90 - 95,92.0,Movie
7004,1,88 min,60 - 90,88.0,Movie
7005,1,126 min,120 - 150,126.0,Movie
